Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
121,4219.030,1.33,44.0,25.0,93.86,2213
122,4219.000,1.33,44.0,25.0,94.20,2213
123,4219.020,1.33,45.0,25.0,93.90,2227
124,4219.035,1.33,45.0,25.0,93.73,2242
125,4219.024,1.33,45.0,25.0,93.64,2242
126,4219.022,1.33,45.0,25.0,93.94,2242
127,4219.031,1.33,45.0,25.0,93.66,2250
128,4219.026,1.33,45.0,25.0,94.20,2242
129,4219.026,1.33,45.0,25.0,93.99,2242
130,4219.021,1.33,45.0,25.0,93.57,2250
131,4219.036,1.33,45.0,25.0,93.62,2235
132,4219.019,1.33,45.0,25.0,94.24,2227
133,4219.041,1.33,45.0,25.0,93.99,2242
134,4219.023,1.33,45.0,25.0,93.91,2250
135,4219.019,1.33,45.0,25.0,93.84,2235
136,4218.981,1.33,45.0,25.0,93.94,2235
137,4218.960,1.33,45.0,25.0,93.91,2242
138,4219.011,1.33,45.0,25.0,93.92,2242
139,4219.022,1.33,45.0,25.0,93.92,2250
140,4219.040,1.33,45.0,25.0,93.85,2242
141,4219.025,1.33,45.0,25.0,93.90,2250
142,4219.012,1.33,45.0,25.0,93.70,2250
143,4219.031,1.33,45.0,25.0,91.04,2242
144,4355.971,1.30,46.0,25.0,90.48,2242
145,4259.512,1.30,45.0,25.0,90.78,2288
146,4310.793,1.30,45.0,25.0,90.43,2288
147,4219.031,1.31,45.0,25.0,91.00,2288
148,4219.031,1.31,45.0,25.0,90.49,2280
149,4219.031,1.30,45.0,25.0,90.97,2288
150,4219.031,1.30,44.0,25.0,90.35,2265
151,4219.031,1.30,44.0,25.0,90.94,2250
152,4253.384,1.30,44.0,25.0,90.35,2242
153,4219.024,1.30,43.0,25.0,90.86,2220
154,4219.031,1.30,43.0,25.0,90.43,2213
155,4226.657,1.30,43.0,25.0,86.76,2205
156,4219.031,1.30,43.0,25.0,90.15,2205
157,4350.286,1.30,42.0,25.0,90.91,2184
158,4230.586,1.31,42.0,25.0,90.39,2184
159,4288.078,1.30,42.0,25.0,90.96,2177
160,4384.979,1.30,42.0,25.0,90.26,2184
161,4366.664,1.30,42.0,25.0,90.97,2177
162,4219.031,1.30,41.0,25.0,90.21,2156
163,4233.918,1.30,41.0,25.0,90.97,2142
164,4230.876,1.30,41.0,25.0,90.03,2136
165,4219.031,1.31,41.0,25.0,91.00,2129
166,4262.098,1.30,41.0,25.0,90.02,2136
167,4219.031,1.30,41.0,25.0,91.00,2136
168,4219.031,1.30,40.0,25.0,89.88,2136
169,4219.031,1.30,40.0,25.0,91.04,2109
170,4407.658,1.30,40.0,25.0,89.67,2109
171,4219.031,1.30,40.0,25.0,91.14,2109
172,4259.884,1.30,40.0,25.0,89.58,2102
173,4275.008,1.31,40.0,25.0,91.14,2102
174,4304.364,1.30,40.0,25.0,89.57,2096
175,4219.031,1.30,40.0,25.0,91.14,2096
176,4259.461,1.30,40.0,25.0,89.68,2089
