Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
121,3752.530,1.33,43.0,26.0,94.80,2170
122,3521.754,1.33,43.0,26.0,94.41,2170
123,3844.187,1.25,43.0,26.0,96.13,2170
124,3314.908,1.31,43.0,26.0,96.99,2170
125,3685.339,1.25,43.0,26.0,95.31,2177
126,3328.739,1.25,43.0,26.0,95.75,2170
127,3779.292,1.27,43.0,26.0,96.35,2163
128,3820.473,1.33,43.0,26.0,96.31,2163
129,3837.612,1.27,43.0,26.0,92.55,2163
130,3519.767,1.25,43.0,26.0,95.36,2170
131,3366.678,1.25,43.0,26.0,95.97,2170
132,3314.918,1.25,43.0,26.0,96.62,2170
133,3314.911,1.26,43.0,26.0,92.39,2170
134,3314.904,1.25,43.0,26.0,94.10,2177
135,3851.429,1.25,43.0,26.0,95.41,2170
136,3730.748,1.25,43.0,26.0,95.89,2170
137,3733.179,1.25,43.0,26.0,95.29,2177
138,3860.414,1.33,43.0,26.0,95.08,2177
139,3535.597,1.25,43.0,26.0,94.80,2170
140,3314.917,1.25,43.0,26.0,92.93,2177
141,3874.501,1.27,43.0,26.0,95.24,2177
142,3444.838,1.25,43.0,26.0,96.48,2177
143,3593.521,1.25,43.0,26.0,94.67,2177
144,3314.908,1.25,43.0,26.0,96.45,2170
145,3543.148,1.25,43.0,26.0,92.59,2163
146,3367.148,1.25,43.0,26.0,94.96,2170
147,3862.654,1.25,43.0,26.0,93.68,2170
148,3480.170,1.33,43.0,26.0,93.27,2177
149,3763.064,1.32,43.0,26.0,95.62,2170
150,3314.906,1.30,43.0,26.0,96.36,2163
151,3837.272,1.25,43.0,26.0,94.19,2170
152,3657.858,1.25,43.0,26.0,94.50,2177
153,3744.689,1.25,43.0,26.0,92.44,2177
154,3314.911,1.33,43.0,26.0,94.43,2163
155,3664.003,1.33,44.0,26.0,96.44,2170
156,3314.924,1.33,44.0,26.0,95.64,2205
157,3683.153,1.33,44.0,26.0,95.36,2205
158,3314.898,1.25,44.0,26.0,93.53,2213
159,3314.908,1.31,44.0,26.0,96.20,2220
160,3372.085,1.33,44.0,26.0,96.65,2220
161,3636.360,1.26,44.0,26.0,94.62,2220
162,3760.428,1.25,44.0,26.0,93.44,2213
163,3583.058,1.25,44.0,26.0,96.47,2220
164,3460.832,1.33,44.0,26.0,92.26,2220
165,3867.229,1.25,44.0,26.0,92.20,2213
166,3320.608,1.26,44.0,26.0,94.80,2220
167,3654.625,1.27,44.0,26.0,93.98,2220
168,3838.231,1.25,44.0,26.0,95.45,2213
169,3622.068,1.25,44.0,26.0,93.91,2220
170,4026.234,1.25,44.0,26.0,93.97,2220
171,3314.913,1.33,44.0,26.0,95.11,2227
172,3864.963,1.25,44.0,26.0,95.07,2220
173,3314.903,1.33,44.0,26.0,95.65,2220
174,3871.845,1.33,44.0,26.0,92.33,2220
175,3845.825,1.33,44.0,26.0,92.74,2220
176,3549.913,1.25,44.0,26.0,96.38,2213
177,3763.063,1.25,44.0,26.0,92.17,2220
178,3756.262,1.25,44.0,26.0,93.76,2213
179,3763.645,1.33,44.0,26.0,95.61,2220
180,3444.521,1.25,44.0,26.0,96.77,2213
181,3710.175,1.27,44.0,26.0,94.91,2213
182,3756.262,1.24,44.0,26.0,94.90,2235
183,3314.907,1.25,44.0,26.0,94.87,2220
184,3862.588,1.25,44.0,26.0,96.94,2213
185,3874.195,1.25,44.0,26.0,93.92,2213
186,3872.279,1.25,44.0,26.0,95.58,2220
187,3436.984,1.25,44.0,26.0,92.85,2220
188,3644.774,1.25,44.0,26.0,95.38,2213
189,3325.719,1.25,44.0,26.0,93.61,2220
190,3760.735,1.25,44.0,26.0,96.54,2213
191,3721.218,1.25,44.0,26.0,95.07,2220
192,3643.223,1.33,44.0,26.0,95.36,2220
193,3742.351,1.33,44.0,26.0,95.96,2205
194,3458.928,1.33,44.0,26.0,92.56,2213
195,3756.131,1.25,44.0,26.0,93.30,2220
196,3314.902,1.33,44.0,26.0,93.02,2213
197,3772.826,1.25,44.0,26.0,96.33,2205
198,3819.902,1.33,44.0,26.0,94.50,2205
199,3742.451,1.25,44.0,26.0,96.05,2198
200,3864.874,1.25,44.0,26.0,92.14,2205
201,3567.775,1.24,44.0,26.0,94.99,2205
202,3479.796,1.25,44.0,26.0,95.13,2205
203,3751.851,1.24,44.0,26.0,93.80,2205
204,3753.964,1.25,45.0,26.0,94.76,2235
205,3756.922,1.33,44.0,26.0,93.11,2242
206,3770.528,1.27,44.0,26.0,94.07,2242
207,3862.864,1.33,44.0,26.0,96.52,2242
208,3774.649,1.25,45.0,26.0,92.52,2257
209,3314.902,1.25,45.0,26.0,96.51,2257
210,3705.023,1.33,45.0,26.0,95.71,2265
211,3772.308,1.25,45.0,26.0,96.56,2257
212,3501.855,1.33,45.0,26.0,93.41,2250
213,3314.902,1.25,45.0,26.0,93.24,2250
214,3314.902,1.25,45.0,26.0,93.30,2257
215,3590.656,1.25,45.0,26.0,95.21,2272
216,3348.122,1.25,45.0,26.0,92.67,2257
217,3692.922,1.25,45.0,26.0,92.11,2257
218,3772.368,1.25,45.0,26.0,92.96,2257
219,3707.862,1.25,45.0,26.0,92.78,2250
220,3408.209,1.25,45.0,26.0,95.66,2242
221,3493.141,1.25,45.0,26.0,94.33,2242
222,3726.121,1.25,45.0,26.0,95.71,2250
223,3436.811,1.33,45.0,26.0,95.40,2257
224,3568.457,1.25,45.0,26.0,93.21,2257
225,3749.360,1.28,45.0,26.0,94.84,2257
226,3314.908,1.25,45.0,26.0,96.87,2257
227,3432.969,1.25,45.0,26.0,94.93,2257
228,3314.913,1.25,45.0,26.0,96.25,2242
229,3631.140,1.25,45.0,26.0,93.38,2250
230,3611.342,1.25,45.0,26.0,92.87,2257
231,3467.264,1.25,45.0,26.0,95.68,2250
232,3825.654,1.25,45.0,26.0,94.57,2242
233,3825.726,1.25,45.0,26.0,95.29,2242
234,3314.911,1.33,45.0,26.0,92.47,2242
235,3869.906,1.32,45.0,26.0,96.55,2257
236,3851.170,1.25,45.0,26.0,93.63,2257
237,3556.084,1.31,45.0,26.0,96.12,2257
238,3463.244,1.25,45.0,26.0,92.65,2250
239,3416.222,1.25,45.0,26.0,92.62,2257
240,3314.899,1.25,45.0,26.0,94.20,2265
241,3314.901,1.25,45.0,26.0,95.61,2265
242,3314.928,1.25,45.0,26.0,93.12,2265
243,3314.916,1.33,45.0,26.0,93.74,2265
244,3314.902,1.33,45.0,26.0,93.40,2265
245,3869.496,1.24,45.0,26.0,96.55,2257
246,3377.967,1.25,45.0,26.0,93.06,2257
247,3765.407,1.31,45.0,27.0,96.27,2250
248,3314.905,1.25,45.0,26.0,93.03,2257
249,3622.361,1.25,45.0,26.0,95.91,2257
250,3319.353,1.25,45.0,26.0,93.70,2235
251,3535.896,1.25,45.0,27.0,95.72,2250
252,3756.269,1.32,45.0,27.0,95.41,2257
253,3644.709,1.26,45.0,27.0,95.11,2257
254,3486.396,1.25,45.0,26.0,94.73,2257
255,3314.904,1.25,45.0,27.0,93.50,2250
256,3874.175,1.25,45.0,27.0,96.51,2250
257,3776.938,1.25,45.0,27.0,94.15,2250
258,3542.056,1.33,45.0,27.0,94.89,2257
259,3463.559,1.32,45.0,27.0,92.60,2250
260,3795.462,1.33,45.0,27.0,92.17,2265
261,3314.904,1.25,45.0,27.0,96.28,2257
262,3405.808,1.25,45.0,27.0,95.49,2250
263,3707.781,1.33,45.0,27.0,92.46,2257
264,3685.790,1.25,45.0,27.0,91.78,2257
265,3597.604,1.26,45.0,27.0,96.28,2250
266,3485.071,1.26,45.0,27.0,95.90,2257
267,3704.192,1.25,45.0,27.0,95.70,2257
268,3445.482,1.33,45.0,27.0,93.01,2250
269,3770.092,1.25,45.0,27.0,94.61,2250
270,3589.044,1.25,45.0,27.0,92.71,2250
271,3440.183,1.25,45.0,27.0,95.45,2250
272,3785.034,1.30,45.0,27.0,95.36,2250
273,3760.750,1.26,45.0,27.0,94.13,2250
274,3314.904,1.25,45.0,27.0,97.18,2250
275,3860.278,1.25,45.0,27.0,96.25,2265
276,3314.910,1.33,45.0,27.0,97.10,2265
277,3567.448,1.27,45.0,27.0,93.07,2257
278,3881.090,1.32,45.0,27.0,96.45,2257
279,3687.109,1.25,45.0,27.0,95.99,2250
280,3886.559,1.33,45.0,27.0,95.81,2250
281,3800.308,1.33,45.0,27.0,95.75,2250
282,3314.908,1.24,45.0,27.0,93.82,2250
283,3650.222,1.25,45.0,27.0,95.70,2250
284,3736.056,1.25,45.0,27.0,93.15,2257
285,3526.566,1.33,45.0,27.0,94.00,2257
286,3314.900,1.30,45.0,27.0,94.15,2257
287,3698.117,1.33,45.0,27.0,92.09,2257
288,3314.909,1.33,45.0,27.0,92.87,2242
289,3776.973,1.25,45.0,27.0,95.67,2257
290,3598.920,1.25,45.0,27.0,95.80,2257
291,3558.842,1.27,45.0,27.0,92.40,2257
292,3687.631,1.25,45.0,27.0,93.29,2257
293,3499.434,1.25,45.0,27.0,91.96,2257
294,3855.870,1.25,45.0,27.0,96.56,2265
295,3532.833,1.25,45.0,27.0,95.32,2250
296,3770.043,1.32,45.0,27.0,95.02,2257
297,3777.113,1.25,45.0,27.0,96.50,2257
