Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
126,N/A,1.33,42.0,23.0,95.36,2109
127,N/A,1.33,42.0,23.0,94.82,2115
128,N/A,1.33,42.0,23.0,89.97,2109
129,N/A,1.32,42.0,23.0,96.55,2115
130,N/A,1.32,42.0,23.0,93.12,2109
131,N/A,1.32,42.0,23.0,93.90,2109
132,N/A,1.33,42.0,23.0,96.68,2109
133,N/A,1.33,42.0,23.0,94.20,2115
134,N/A,1.33,42.0,23.0,94.16,2115
135,N/A,1.33,42.0,23.0,95.66,2109
136,N/A,1.26,42.0,23.0,95.18,2109
137,N/A,1.25,43.0,23.0,95.65,2136
138,N/A,1.33,43.0,23.0,95.99,2149
139,N/A,1.33,43.0,23.0,93.28,2149
140,N/A,1.33,43.0,23.0,93.63,2149
141,N/A,1.32,43.0,23.0,95.61,2156
142,N/A,1.33,43.0,23.0,95.60,2156
143,N/A,1.33,43.0,23.0,93.40,2156
144,N/A,1.25,43.0,23.0,93.95,2149
145,N/A,1.25,43.0,23.0,95.08,2149
146,N/A,1.25,43.0,23.0,94.96,2156
147,N/A,1.33,43.0,23.0,94.62,2156
148,N/A,1.32,43.0,23.0,94.43,2156
149,N/A,1.33,43.0,23.0,94.06,2156
150,N/A,1.33,43.0,23.0,97.32,2163
151,N/A,1.33,43.0,23.0,95.65,2156
152,N/A,1.33,43.0,23.0,93.61,2156
153,N/A,1.32,43.0,23.0,94.40,2149
154,N/A,1.33,43.0,23.0,94.36,2149
155,N/A,1.33,43.0,23.0,96.88,2149
156,N/A,1.33,43.0,24.0,95.70,2149
157,N/A,1.33,43.0,23.0,94.75,2156
158,N/A,1.33,43.0,24.0,94.52,2149
159,N/A,1.33,44.0,24.0,93.31,2177
160,N/A,1.32,44.0,24.0,90.96,2191
161,N/A,1.33,44.0,24.0,90.53,2191
162,N/A,1.33,44.0,24.0,92.31,2191
163,N/A,1.33,44.0,24.0,92.37,2191
164,N/A,1.33,44.0,24.0,94.76,2198
165,N/A,1.32,44.0,24.0,95.30,2191
166,N/A,1.33,44.0,24.0,96.74,2198
167,N/A,1.32,44.0,24.0,96.79,2191
168,N/A,1.33,44.0,24.0,93.98,2191
169,N/A,1.33,44.0,24.0,96.29,2198
170,N/A,1.33,44.0,24.0,95.58,2184
171,N/A,1.33,44.0,24.0,94.76,2191
172,N/A,1.32,44.0,24.0,92.10,2191
173,N/A,1.33,44.0,24.0,94.98,2198
174,N/A,1.32,44.0,24.0,94.63,2191
175,N/A,1.33,44.0,24.0,96.06,2198
176,N/A,1.32,44.0,24.0,93.30,2198
177,N/A,1.33,44.0,24.0,96.46,2198
178,N/A,1.33,44.0,24.0,94.91,2198
179,N/A,1.33,44.0,24.0,94.60,2205
180,N/A,1.33,45.0,24.0,93.18,2213
181,N/A,1.32,44.0,24.0,92.67,2227
182,N/A,1.33,44.0,24.0,94.88,2227
183,N/A,1.33,45.0,24.0,95.43,2235
184,N/A,1.33,45.0,24.0,91.14,2235
185,N/A,1.32,45.0,24.0,96.44,2242
186,N/A,1.33,45.0,24.0,92.01,2235
187,N/A,1.32,45.0,24.0,95.94,2235
188,N/A,1.32,45.0,24.0,91.71,2235
189,N/A,1.33,45.0,24.0,96.88,2227
190,N/A,1.33,45.0,24.0,94.48,2235
191,N/A,1.33,45.0,24.0,94.88,2235
192,N/A,1.33,45.0,24.0,93.61,2242
193,N/A,1.33,45.0,24.0,95.19,2235
194,N/A,1.33,45.0,24.0,96.19,2242
195,N/A,1.32,45.0,24.0,93.47,2227
196,N/A,1.33,45.0,24.0,95.40,2235
197,N/A,1.33,45.0,24.0,96.30,2242
198,N/A,1.33,45.0,24.0,94.00,2235
199,N/A,1.33,45.0,24.0,92.48,2235
200,N/A,1.32,45.0,24.0,93.77,2235
201,N/A,1.33,45.0,24.0,93.72,2242
202,N/A,1.32,45.0,24.0,97.25,2235
203,N/A,1.33,45.0,24.0,94.42,2242
204,N/A,1.31,45.0,24.0,93.26,2242
205,N/A,1.33,45.0,24.0,91.86,2242
206,N/A,1.33,45.0,24.0,95.01,2235
207,N/A,1.33,45.0,24.0,94.67,2235
208,N/A,1.32,45.0,24.0,93.70,2242
209,N/A,1.32,45.0,24.0,95.60,2250
210,N/A,1.33,45.0,24.0,92.06,2242
211,N/A,1.33,45.0,24.0,96.02,2242
212,N/A,1.33,45.0,24.0,92.60,2242
213,N/A,1.33,45.0,24.0,94.12,2242
214,N/A,1.33,45.0,24.0,95.71,2235
215,N/A,1.32,46.0,24.0,94.40,2242
216,N/A,1.33,45.0,24.0,96.09,2272
217,N/A,1.33,45.0,24.0,92.68,2280
218,N/A,1.33,45.0,24.0,94.56,2280
219,N/A,1.33,46.0,24.0,92.69,2280
220,N/A,1.33,46.0,24.0,94.62,2280
221,N/A,1.33,46.0,24.0,94.84,2280
222,N/A,1.33,46.0,24.0,94.37,2272
223,N/A,1.33,46.0,24.0,95.54,2272
224,N/A,1.32,46.0,24.0,96.19,2272
225,N/A,1.24,46.0,24.0,91.32,2272
226,N/A,1.33,46.0,24.0,95.22,2272
227,N/A,1.33,46.0,24.0,95.94,2280
228,N/A,1.33,46.0,24.0,92.09,2280
229,N/A,1.32,46.0,24.0,94.96,2272
230,N/A,1.33,46.0,24.0,91.67,2280
231,N/A,1.33,46.0,24.0,92.47,2272
232,N/A,1.33,46.0,24.0,92.94,2280
233,N/A,1.33,46.0,24.0,92.93,2272
234,N/A,1.25,46.0,24.0,94.77,2272
235,N/A,1.33,46.0,24.0,96.24,2272
236,N/A,1.33,46.0,24.0,93.39,2272
237,N/A,1.33,46.0,24.0,93.59,2272
238,N/A,1.33,46.0,24.0,93.47,2272
239,N/A,1.33,46.0,24.0,91.97,2280
240,N/A,1.33,46.0,24.0,95.57,2280
241,N/A,1.33,46.0,24.0,93.66,2280
242,N/A,1.33,46.0,24.0,94.22,2280
243,N/A,1.33,46.0,24.0,95.38,2288
244,N/A,1.33,46.0,24.0,96.20,2280
245,N/A,1.33,46.0,24.0,95.55,2272
246,N/A,1.33,46.0,24.0,92.88,2272
247,N/A,1.33,46.0,24.0,91.70,2272
248,N/A,1.33,46.0,24.0,94.87,2272
249,N/A,1.33,46.0,24.0,95.80,2280
250,N/A,1.33,46.0,24.0,97.06,2280
251,N/A,1.33,46.0,24.0,94.32,2265
252,N/A,1.33,46.0,24.0,93.49,2272
253,N/A,1.33,46.0,24.0,94.72,2280
254,N/A,1.33,46.0,24.0,95.86,2272
255,N/A,1.33,46.0,24.0,93.18,2280
256,N/A,1.33,46.0,24.0,94.54,2272
257,N/A,1.33,46.0,24.0,94.65,2272
258,N/A,1.32,46.0,24.0,93.59,2272
259,N/A,1.33,46.0,24.0,95.14,2265
260,N/A,1.33,46.0,24.0,90.87,2280
261,N/A,1.34,46.0,24.0,92.59,2280
262,N/A,1.33,46.0,24.0,93.41,2280
263,N/A,1.33,46.0,24.0,91.89,2288
264,N/A,1.33,46.0,24.0,92.59,2288
265,N/A,1.33,46.0,24.0,90.30,2280
266,N/A,1.33,46.0,24.0,91.13,2280
267,N/A,1.33,46.0,24.0,93.89,2280
268,N/A,1.32,46.0,24.0,91.31,2280
269,N/A,1.32,46.0,24.0,93.72,2288
270,N/A,1.33,46.0,24.0,95.39,2280
271,N/A,1.33,46.0,24.0,96.92,2280
272,N/A,1.33,46.0,24.0,94.34,2280
273,N/A,1.32,46.0,24.0,89.42,2280
274,N/A,1.32,46.0,24.0,94.82,2280
275,N/A,1.33,46.0,24.0,95.16,2280
276,N/A,1.33,46.0,24.0,95.47,2280
277,N/A,1.33,46.0,24.0,90.50,2280
278,N/A,1.33,46.0,24.0,96.68,2272
279,N/A,1.33,46.0,24.0,95.31,2280
280,N/A,1.33,46.0,24.0,94.45,2280
281,N/A,1.33,46.0,25.0,94.06,2288
282,N/A,1.33,46.0,25.0,94.97,2288
283,N/A,1.33,46.0,25.0,92.12,2288
284,N/A,1.33,46.0,25.0,96.47,2280
285,N/A,1.33,46.0,25.0,88.16,2288
286,N/A,1.33,47.0,25.0,91.64,2303
287,N/A,1.33,46.0,25.0,93.31,2319
288,N/A,1.33,47.0,25.0,94.41,2319
289,N/A,1.33,46.0,25.0,95.45,2319
290,N/A,1.33,47.0,25.0,93.55,2327
291,N/A,1.33,47.0,25.0,94.51,2319
292,N/A,1.32,47.0,25.0,93.08,2327
293,N/A,1.33,47.0,25.0,94.12,2327
294,N/A,1.28,47.0,25.0,93.81,2319
295,N/A,1.32,47.0,25.0,94.12,2327
296,N/A,1.33,47.0,25.0,94.79,2327
297,N/A,1.32,47.0,25.0,90.03,2319
298,N/A,1.32,47.0,25.0,97.10,2327
299,N/A,1.33,47.0,25.0,91.43,2319
300,N/A,1.33,47.0,25.0,93.00,2327
301,N/A,1.33,47.0,25.0,93.53,2327
302,N/A,1.32,47.0,25.0,92.73,2319
303,N/A,1.32,47.0,25.0,93.24,2311
304,N/A,1.33,47.0,25.0,91.90,2319
305,N/A,1.33,47.0,25.0,94.25,2327
306,N/A,1.33,47.0,25.0,95.36,2327
307,N/A,1.33,47.0,25.0,95.74,2327
308,N/A,1.26,47.0,25.0,90.38,2327
309,N/A,1.33,47.0,25.0,92.77,2319
310,N/A,1.32,47.0,25.0,93.72,2319
311,N/A,1.33,47.0,25.0,95.75,2327
312,N/A,1.33,47.0,25.0,92.71,2319
313,N/A,1.32,47.0,25.0,93.38,2319
314,N/A,1.33,47.0,25.0,94.16,2327
315,N/A,1.33,47.0,25.0,96.85,2327
316,N/A,1.33,47.0,25.0,95.54,2319
317,N/A,1.33,47.0,25.0,93.75,2327
318,N/A,1.25,47.0,25.0,93.68,2327
319,N/A,1.33,47.0,25.0,96.56,2327
320,N/A,1.32,47.0,25.0,96.39,2327
321,N/A,1.33,47.0,25.0,97.47,2327
322,N/A,1.32,47.0,25.0,94.93,2327
323,N/A,1.32,47.0,25.0,92.56,2327
324,N/A,1.33,47.0,25.0,95.24,2327
325,N/A,1.25,47.0,25.0,94.32,2335
326,N/A,1.32,47.0,25.0,93.90,2335
327,N/A,1.32,47.0,25.0,95.39,2327
328,N/A,1.33,47.0,25.0,93.69,2327
329,N/A,1.33,47.0,25.0,92.09,2327
330,N/A,1.33,47.0,25.0,95.09,2335
331,N/A,1.32,47.0,25.0,94.10,2319
332,N/A,1.33,47.0,25.0,90.93,2327
333,N/A,1.33,47.0,25.0,95.72,2327
334,N/A,1.33,47.0,25.0,90.79,2327
335,N/A,1.33,47.0,25.0,92.70,2327
336,N/A,1.33,47.0,25.0,92.29,2335
337,N/A,1.33,47.0,25.0,91.63,2327
338,N/A,1.33,47.0,25.0,90.57,2335
339,N/A,1.33,47.0,25.0,91.93,2335
340,N/A,1.33,47.0,25.0,94.21,2327
341,N/A,1.33,47.0,25.0,94.78,2335
342,N/A,1.33,47.0,25.0,90.85,2335
343,N/A,1.33,47.0,25.0,91.09,2335
344,N/A,1.30,47.0,25.0,90.80,2335
345,N/A,1.30,47.0,25.0,89.68,2335
346,N/A,1.30,47.0,25.0,91.14,2335
347,N/A,1.30,47.0,25.0,91.06,2335
348,N/A,1.30,46.0,25.0,90.68,2327
349,N/A,1.30,46.0,25.0,89.65,2335
350,N/A,1.30,46.0,25.0,91.09,2343
351,N/A,1.30,46.0,25.0,91.07,2343
352,N/A,1.30,45.0,25.0,90.35,2311
353,N/A,1.30,45.0,25.0,91.12,2288
354,N/A,1.30,45.0,25.0,91.11,2288
355,N/A,1.30,45.0,25.0,90.82,2280
356,N/A,1.30,44.0,25.0,90.02,2272
357,N/A,1.30,44.0,25.0,91.06,2242
358,N/A,1.30,44.0,25.0,91.12,2250
359,N/A,1.30,44.0,25.0,87.66,2242
360,N/A,1.30,43.0,25.0,89.89,2242
361,N/A,1.31,43.0,25.0,90.85,2227
362,N/A,1.31,43.0,25.0,90.97,2220
363,N/A,1.31,43.0,25.0,90.19,2213
364,N/A,1.30,43.0,25.0,87.94,2220
365,N/A,1.30,43.0,25.0,88.86,2220
366,N/A,1.30,42.0,25.0,90.89,2184
367,N/A,1.30,42.0,25.0,89.82,2184
368,N/A,1.30,42.0,25.0,87.93,2184
369,N/A,1.30,42.0,25.0,89.15,2177
370,N/A,1.30,42.0,25.0,88.92,2170
371,N/A,1.30,42.0,25.0,90.20,2177
372,N/A,1.30,42.0,25.0,84.07,2177
373,N/A,1.30,41.0,25.0,90.74,2156
374,N/A,1.30,41.0,25.0,90.95,2149
375,N/A,1.30,41.0,25.0,90.13,2149
376,N/A,1.30,41.0,25.0,90.95,2142
377,N/A,1.30,41.0,25.0,90.96,2142
378,N/A,1.30,41.0,25.0,90.57,2142
379,N/A,1.30,41.0,25.0,89.66,2149
380,N/A,1.30,41.0,25.0,90.98,2142
381,N/A,1.30,40.0,25.0,91.04,2129
382,N/A,1.30,40.0,25.0,90.00,2109
383,N/A,1.30,40.0,25.0,91.03,2109
384,N/A,1.30,40.0,25.0,90.91,2109
385,N/A,1.30,40.0,25.0,90.18,2102
386,N/A,1.30,40.0,25.0,90.96,2102
387,N/A,1.30,40.0,25.0,90.93,2115
388,N/A,1.30,40.0,25.0,90.74,2102
389,N/A,1.31,40.0,25.0,89.72,2109
390,N/A,1.30,40.0,25.0,90.98,2096
391,N/A,1.30,40.0,25.0,91.08,2102
392,N/A,1.30,39.0,25.0,90.14,2083
393,N/A,1.30,39.0,25.0,91.10,2070
394,N/A,1.30,39.0,25.0,91.04,2070
395,N/A,1.30,39.0,25.0,90.33,2064
396,N/A,1.30,39.0,25.0,90.69,2070
397,N/A,1.30,39.0,25.0,91.14,2064
398,N/A,1.30,39.0,25.0,90.84,2070
399,N/A,1.30,39.0,25.0,89.87,2064
400,N/A,1.30,39.0,25.0,91.14,2070
401,N/A,1.30,39.0,25.0,91.11,2070
402,N/A,1.30,39.0,25.0,90.17,2064
403,N/A,1.30,38.0,25.0,91.14,2051
404,N/A,1.30,38.0,25.0,91.10,2027
405,N/A,1.30,38.0,25.0,90.27,2020
406,N/A,1.30,38.0,25.0,91.13,2020
407,N/A,1.30,38.0,25.0,91.14,2020
408,N/A,1.30,38.0,25.0,90.98,2020
409,N/A,1.30,38.0,25.0,89.85,2027
410,N/A,1.30,38.0,25.0,91.14,2033
411,N/A,1.31,38.0,25.0,91.06,2020
412,N/A,1.31,38.0,25.0,90.23,2020
413,N/A,1.30,38.0,25.0,91.07,2027
414,N/A,1.30,38.0,25.0,91.13,2020
415,N/A,1.30,38.0,25.0,90.20,2027
416,N/A,1.31,38.0,25.0,89.35,2020
417,N/A,1.30,38.0,25.0,90.98,2027
418,N/A,1.30,38.0,25.0,90.95,2027
419,N/A,1.30,38.0,25.0,89.89,2020
420,N/A,1.30,37.0,25.0,91.06,2002
421,N/A,1.30,37.0,25.0,90.98,1985
422,N/A,1.30,37.0,25.0,90.50,1985
423,N/A,1.30,37.0,25.0,91.01,1979
424,N/A,1.30,37.0,25.0,91.12,1985
425,N/A,1.30,37.0,25.0,90.79,1985
426,N/A,1.30,37.0,25.0,89.36,1991
427,N/A,1.30,37.0,25.0,91.02,1985
428,N/A,1.30,37.0,25.0,91.03,1985
429,N/A,1.30,37.0,25.0,90.37,1985
430,N/A,1.30,37.0,25.0,91.11,1985
431,N/A,1.30,37.0,25.0,91.13,1979
432,N/A,1.30,37.0,25.0,91.14,1985
433,N/A,1.30,37.0,25.0,90.06,1985
434,N/A,1.30,37.0,25.0,91.14,1991
435,N/A,1.30,37.0,25.0,91.13,1991
436,N/A,1.30,37.0,25.0,90.27,1991
437,N/A,1.31,37.0,25.0,91.12,1991
438,N/A,1.30,36.0,25.0,91.14,1962
439,N/A,1.30,36.0,25.0,90.86,1956
440,N/A,1.30,36.0,25.0,89.86,1950
441,N/A,1.30,36.0,25.0,91.14,1945
442,N/A,1.30,36.0,25.0,91.14,1950
443,N/A,1.30,36.0,25.0,84.44,1950
444,N/A,1.30,36.0,25.0,91.13,1945
445,N/A,1.30,36.0,25.0,91.14,1945
446,N/A,1.30,36.0,25.0,90.67,1950
447,N/A,1.30,36.0,25.0,89.67,1950
448,N/A,1.30,36.0,25.0,91.14,1945
