Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
121,4218.975,1.31,36.0,25.0,88.18,1901
122,4218.975,1.30,36.0,25.0,88.23,1901
123,4244.489,1.31,36.0,25.0,88.43,1901
124,4218.975,1.30,36.0,25.0,88.51,1896
125,4218.975,1.30,36.0,25.0,86.14,1896
126,4239.525,1.31,36.0,25.0,87.64,1890
127,4414.550,1.31,36.0,25.0,85.59,1896
128,4218.975,1.31,36.0,25.0,88.25,1896
129,4306.987,1.31,36.0,25.0,87.58,1896
130,4228.338,1.30,36.0,25.0,87.73,1896
131,4218.975,1.31,37.0,25.0,88.73,1896
132,4218.975,1.31,37.0,25.0,87.78,1928
133,4299.695,1.32,37.0,25.0,88.85,1934
134,4254.637,1.32,37.0,25.0,86.86,1939
135,4218.975,1.31,37.0,25.0,88.90,1945
136,4218.975,1.31,37.0,25.0,87.40,1939
137,4249.230,1.31,37.0,25.0,87.56,1934
138,4250.638,1.32,37.0,25.0,87.66,1939
139,4218.975,1.31,37.0,25.0,88.22,1939
140,4218.975,1.31,37.0,25.0,86.71,1939
141,4347.488,1.31,37.0,25.0,88.15,1945
142,4256.764,1.31,37.0,25.0,87.63,1939
143,4218.975,1.31,37.0,25.0,88.39,1934
144,4369.899,1.31,37.0,25.0,88.78,1928
145,4269.952,1.31,37.0,25.0,87.47,1928
146,4267.892,1.31,37.0,25.0,88.15,1928
147,4420.388,1.31,37.0,25.0,87.76,1939
148,4592.378,1.31,37.0,25.0,87.41,1934
149,4218.975,1.31,37.0,25.0,88.29,1934
150,4235.837,1.31,37.0,25.0,88.70,1939
151,4218.973,1.31,37.0,25.0,88.00,1928
152,4218.971,1.30,37.0,25.0,88.23,1934
153,4218.975,1.30,37.0,25.0,88.34,1934
154,4218.975,1.31,37.0,25.0,88.47,1939
155,4218.979,1.31,37.0,25.0,86.20,1939
156,4218.970,1.30,37.0,25.0,87.13,1934
157,4218.975,1.31,37.0,25.0,85.51,1939
158,4218.975,1.31,37.0,25.0,88.23,1939
159,4218.976,1.31,37.0,25.0,85.43,1945
160,4218.976,1.32,37.0,25.0,88.34,1939
161,4218.975,1.31,37.0,25.0,86.85,1934
162,4254.654,1.30,37.0,25.0,88.50,1934
163,4279.679,1.31,37.0,25.0,88.21,1934
164,4218.975,1.31,37.0,25.0,89.00,1939
165,4373.243,1.31,37.0,25.0,88.41,1945
166,4218.975,1.31,37.0,25.0,86.82,1939
167,4280.839,1.31,37.0,25.0,87.17,1934
168,4218.975,1.31,37.0,25.0,86.09,1934
169,4218.975,1.31,37.0,25.0,88.11,1939
170,4218.975,1.31,37.0,25.0,86.13,1934
171,4224.146,1.31,37.0,25.0,88.63,1934
172,4218.975,1.31,37.0,25.0,87.39,1934
173,4218.975,1.30,37.0,25.0,89.02,1945
174,4365.800,1.31,37.0,25.0,85.28,1945
175,4237.856,1.30,37.0,25.0,89.51,1945
176,4218.975,1.31,37.0,25.0,86.49,1945
177,4218.975,1.31,37.0,25.0,87.24,1939
178,4218.975,1.31,37.0,25.0,87.77,1945
179,4281.607,1.30,37.0,25.0,87.15,1939
180,4218.975,1.31,37.0,25.0,88.51,1945
181,4218.975,1.31,37.0,25.0,86.87,1939
182,4218.977,1.30,37.0,25.0,87.17,1939
183,4218.972,1.30,37.0,25.0,85.56,1939
184,4218.975,1.31,37.0,25.0,88.08,1934
185,4218.970,1.30,37.0,25.0,86.93,1939
186,4218.975,1.31,37.0,25.0,88.31,1934
187,4218.979,1.31,37.0,25.0,87.14,1939
188,4218.980,1.31,37.0,25.0,88.83,1945
189,4218.976,1.30,37.0,25.0,86.05,1939
190,4218.975,1.30,37.0,25.0,88.42,1939
191,4224.742,1.30,37.0,25.0,86.31,1945
192,4218.975,1.30,37.0,25.0,87.29,1939
193,4218.975,1.31,37.0,25.0,86.89,1939
194,4309.856,1.31,37.0,25.0,86.50,1939
195,4254.800,1.31,37.0,25.0,88.08,1939
196,4218.975,1.31,37.0,25.0,86.58,1945
197,4218.975,1.31,37.0,25.0,88.52,1939
198,4242.879,1.30,37.0,25.0,86.89,1934
199,4218.975,1.31,37.0,25.0,88.68,1934
200,4218.975,1.31,37.0,25.0,87.52,1934
201,4218.975,1.31,37.0,25.0,86.79,1934
202,4218.971,1.30,37.0,25.0,87.13,1934
203,4219.003,1.31,37.0,25.0,87.51,1939
204,4218.975,1.30,37.0,25.0,87.10,1939
205,4218.970,1.30,37.0,25.0,87.37,1939
206,4218.972,1.30,37.0,25.0,88.48,1939
207,4218.975,1.30,37.0,25.0,86.45,1939
208,4218.979,1.30,37.0,25.0,88.63,1945
209,4218.975,1.31,37.0,25.0,87.11,1950
210,4218.980,1.31,37.0,25.0,88.72,1945
211,4218.970,1.30,37.0,25.0,87.36,1945
212,4218.975,1.30,37.0,25.0,89.43,1939
213,4218.975,1.30,37.0,25.0,86.88,1939
214,4285.120,1.31,37.0,25.0,87.54,1939
215,4218.975,1.31,37.0,25.0,87.09,1945
216,4218.975,1.30,37.0,25.0,87.79,1945
217,4247.455,1.30,37.0,25.0,86.90,1950
218,4296.841,1.31,37.0,25.0,86.72,1939
219,4403.406,1.31,37.0,25.0,84.79,1934
220,4218.975,1.31,37.0,25.0,87.60,1934
221,4316.880,1.30,38.0,25.0,87.56,1962
222,4218.971,1.31,38.0,25.0,88.02,1967
223,4218.943,1.31,38.0,25.0,86.80,1967
224,4218.979,1.30,38.0,25.0,87.45,1973
225,4218.976,1.31,38.0,25.0,86.15,1973
226,4218.980,1.30,37.0,25.0,88.51,1973
227,4218.973,1.31,38.0,25.0,88.36,1967
228,4218.976,1.30,37.0,25.0,87.06,1973
229,4219.000,1.30,37.0,25.0,86.70,1973
230,4218.971,1.30,37.0,25.0,86.04,1979
231,4218.969,1.31,37.0,25.0,87.76,1979
232,4218.975,1.30,37.0,25.0,87.83,1973
233,4273.775,1.30,37.0,25.0,88.29,1973
234,4272.957,1.32,37.0,25.0,88.42,1973
235,4259.925,1.31,37.0,25.0,88.61,1973
236,4218.975,1.31,37.0,25.0,86.34,1967
237,4327.476,1.30,37.0,25.0,86.58,1967
238,4273.615,1.31,37.0,25.0,85.77,1967
239,4348.743,1.30,37.0,25.0,87.78,1973
240,4218.975,1.30,37.0,25.0,88.70,1973
241,4218.975,1.30,37.0,25.0,87.64,1973
242,4218.975,1.30,37.0,25.0,88.50,1973
243,4218.975,1.31,37.0,25.0,87.56,1973
244,4290.435,1.31,37.0,25.0,88.83,1973
245,4218.975,1.31,37.0,25.0,86.31,1979
246,4311.618,1.30,37.0,25.0,89.51,1979
247,4343.869,1.32,37.0,25.0,86.91,1973
248,4221.600,1.31,37.0,25.0,88.17,1973
249,4218.975,1.31,37.0,25.0,87.27,1973
250,4219.471,1.30,37.0,25.0,89.65,1979
251,4218.975,1.30,37.0,25.0,87.84,1985
252,4260.675,1.30,37.0,25.0,87.91,1973
253,4218.975,1.31,38.0,25.0,86.06,1979
254,4339.661,1.30,37.0,25.0,88.19,1967
255,4218.975,1.30,37.0,25.0,86.69,1973
256,4344.603,1.30,38.0,25.0,88.42,1979
257,4218.975,1.30,37.0,25.0,87.97,1979
258,4294.632,1.30,37.0,25.0,88.84,1979
259,4218.975,1.31,37.0,25.0,88.46,1973
260,4218.975,1.30,38.0,25.0,86.63,1979
261,4218.975,1.30,37.0,25.0,86.75,1979
262,4218.975,1.31,37.0,25.0,85.45,1979
263,4387.843,1.30,37.0,25.0,87.92,1973
264,4218.975,1.30,38.0,25.0,86.18,1979
265,4218.975,1.30,37.0,25.0,88.41,1979
266,4218.975,1.30,37.0,25.0,86.19,1979
267,4218.975,1.30,37.0,25.0,88.56,1973
268,4218.975,1.31,38.0,25.0,85.07,1973
269,4218.975,1.30,37.0,25.0,88.58,1973
270,4347.263,1.31,38.0,25.0,87.35,1973
271,4218.975,1.30,38.0,25.0,88.29,1973
272,4218.975,1.30,37.0,25.0,87.63,1973
273,4218.975,1.31,38.0,26.0,88.85,1979
274,4218.975,1.31,38.0,25.0,88.59,1979
275,4240.584,1.30,38.0,26.0,86.46,1979
276,4218.975,1.31,38.0,25.0,86.85,1973
277,4218.975,1.31,38.0,26.0,85.71,1985
278,4218.975,1.31,38.0,25.0,88.16,1979
279,4244.177,1.30,38.0,25.0,85.62,1979
280,4218.975,1.31,38.0,25.0,88.25,1979
281,4218.975,1.31,38.0,25.0,87.69,1979
282,4241.191,1.31,38.0,25.0,88.13,1979
283,4218.975,1.31,38.0,26.0,86.76,1985
284,4398.394,1.31,38.0,26.0,86.78,1985
285,4373.838,1.31,38.0,26.0,87.80,1991
286,4235.929,1.31,38.0,26.0,86.23,1985
287,4218.975,1.31,38.0,26.0,88.73,1985
288,4218.975,1.31,38.0,26.0,87.19,1985
289,4280.641,1.31,38.0,26.0,88.86,1985
290,4218.975,1.31,38.0,25.0,85.20,1991
291,4367.449,1.31,38.0,26.0,89.26,1991
292,4353.095,1.31,38.0,26.0,85.98,1979
293,4225.964,1.31,38.0,26.0,88.35,1985
294,4218.975,1.31,38.0,26.0,86.64,1991
295,4341.334,1.31,38.0,26.0,86.52,1985
